title,summary,groups,interests
Bulk Manufacturer of Controlled Substances Application: Pisgah Laboratories Inc.,"Pisgah Laboratories Inc. has applied to be registered as a bulk manufacturer of several controlled substances, including Schedule I and II drugs. The Drug Enforcement Administration is accepting comments and requests for a hearing on the proposed registration until July 5, 2024.","['Registered bulk manufacturers of the affected controlled substances', 'Pharmaceutical companies and distributors', 'Drug enforcement and public health agencies']","['May submit comments or objections to the proposed registration, as it could impact their market share and operations.', 'May be interested in obtaining the controlled substances manufactured by Pisgah Laboratories Inc. for their own research and distribution purposes.', 'Likely to closely monitor the application and registration process to ensure the controlled substances are handled responsibly and in compliance with regulations.']"
"Sabine Pass Liquefaction, LLC; Application for Blanket Authorization To Export Previously Imported Liquefied Natural Gas to Non-Free Trade Agreement Countries on a Short-Term Basis","Sabine Pass Liquefaction, LLC (SPL) has filed an application with the Department of Energy (DOE) requesting a short-term blanket authorization to export liquefied natural gas (LNG) that has been previously imported into the United States from foreign sources. SPL seeks to export up to 500 billion cubic feet of natural gas equivalent over a two-year period, starting on June 7, 2024. The application covers exports to both free trade agreement (FTA) and non-FTA countries. DOE will evaluate the application, considering domestic natural gas needs and other relevant factors, including the potential environmental impacts under the National Environmental Policy Act (NEPA). The public is invited to submit comments, protests, or motions to intervene on the application by May 28, 2024.","['Sabine Pass Liquefaction, LLC (SPL)', 'U.S. natural gas consumers', 'Environmental advocacy groups', 'Competing LNG exporters']","['Seeking to maximize profits by exporting previously imported LNG to both FTA and non-FTA countries.', 'Concerned about potential impacts on domestic natural gas prices and availability if significant volumes of LNG are exported.', 'Likely to scrutinize the application for its potential environmental impacts, which DOE must consider under NEPA.', 'May oppose the application if they view it as unfair competition or a threat to their own export opportunities.']"
Availability of Three Draft Toxicological Profiles,"The Agency for Toxic Substances and Disease Registry (ATSDR) is seeking public comments on draft updates to three toxicological profiles: acrolein, n-hexane, and naphthalene. These profiles provide important information on the health effects of exposure to these priority hazardous substances. The public comment period is open until May 3, 2024, and ATSDR is interested in receiving any additional relevant studies or information for potential inclusion in the profiles. This action is mandated by the Superfund Amendments and Reauthorization Act of 1986 (SARA), which requires ATSDR to prepare and update toxicological profiles for substances on the priority list of hazardous substances.","['Chemical manufacturers and industry groups', 'Environmental and public health advocacy groups', 'Affected communities and residents']","['May have an interest in providing feedback to ensure the profiles accurately reflect the latest scientific evidence and do not overstate the potential health risks of their products.', 'Likely to closely review the profiles and provide comments to ensure they comprehensively address the potential health impacts of exposure to these hazardous substances.', 'May be concerned about the presence of these hazardous substances in their local environment and will be interested in the information provided in the updated toxicological profiles.']"
"Notice of Intent To Amend the Worland Resource Management Plan and Prepare an Associated Environmental Assessment; Notice of Realty Action: Proposed Non-Competitive Direct Sale of 1.0 Acre of Public Lands in Washakie County, Wyoming","The Bureau of Land Management (BLM) in Wyoming intends to prepare a Resource Management Plan (RMP) amendment and associated Environmental Assessment (EA) for the non-competitive direct sale of a 1-acre parcel of public land in Washakie County, Wyoming, to TAG Western Properties, LLC. The purpose is to resolve an unauthorized development on the land, which is difficult and uneconomical for the BLM to manage. The BLM is seeking public comments on the scope of the analysis, potential alternatives, and the proposed direct sale. The document outlines the preliminary alternatives, including a direct sale or retaining the land in federal ownership, and the terms and conditions of the potential conveyance.This document is important as it outlines the BLM's process for disposing of public lands, which can have significant impacts on various stakeholders. The RMP amendment and EA will evaluate the suitability of the land for disposal and the potential environmental and socioeconomic effects of the proposed action.","['TAG Western Properties, LLC', 'Environmental advocacy groups', 'Local community members', 'Other federal agencies']","['Likely to support the proposed direct sale, as it would resolve the unauthorized development on the land and allow them to continue their ranch operations.', 'May be concerned about the potential environmental impacts of the land disposal and development, and could advocate for more stringent environmental protections or the retention of the land in federal ownership.', 'May have mixed reactions, with some potentially supporting the economic benefits of the land sale and development, while others may be concerned about the environmental and community impacts.', 'May be interested in the potential transfer of the land to another federal department or agency, if the BLM deems it unsuitable for their management.']"
"Notice of Intent To Prepare an Environmental Impact Statement and To Initiate Scoping for Federal Coal Lease Applications for Two Leases To Expand Operations at the Warrior Met Coal Mines, Tuscaloosa County, Alabama","The Bureau of Land Management (BLM) is preparing an Environmental Impact Statement (EIS) to evaluate two federal coal lease applications submitted by Warrior Met Coal to expand their existing underground mining operations in Tuscaloosa County, Alabama. The proposed action would allow for the extraction of approximately 57.5 million tons of metallurgical coal reserves through underground longwall mining techniques. The EIS will assess potential impacts, including on air quality, environmental justice, subsidence, and water resources. The BLM is seeking public comments during the scoping process to help identify relevant issues and alternatives to be considered in the EIS. A decision on the lease applications is expected in early 2026.","['Warrior Met Coal', 'Environmental advocacy groups', 'Local communities', 'Federal and state regulatory agencies']","['Likely to strongly support the proposed action as it would allow them to expand their mining operations and access additional coal reserves.', 'Likely to be concerned about the potential environmental impacts of the proposed mining expansion, such as air quality, greenhouse gas emissions, and impacts on water resources.', 'May have mixed views, with some supporting the economic benefits of expanded mining operations, while others are concerned about the environmental and social impacts on their communities.', 'Will be responsible for reviewing and approving the necessary permits and authorizations for the proposed mining activities, balancing economic and environmental considerations.']"
"Notice of Realty Action: Change of Authorized Use for Recreation and Public Purposes Lease/Conveyance in Clark County, Nevada","The Bureau of Land Management (BLM) proposes to change the authorized use of 7.20 acres of public land in Clark County, Nevada, from a portion of the Hollywood Regional Park and an undeveloped Clark County Family Services building to a Las Vegas Metropolitan Police substation. The change is requested by Clark County Real Property Management to support a proposed adjacent public park, fire station, high school, housing communities, and businesses. The proposed substation would include various administrative and operational facilities. The land is currently classified under the Recreation and Public Purposes Act, and the change of authorized use is consistent with the BLM's Las Vegas Resource Management Plan. Interested parties can submit comments on the proposed change until June 13, 2024.This document is important as it outlines the BLM's plan to repurpose public land for a critical public safety infrastructure project, which could have significant impacts on the local community and surrounding developments. The proposed change in land use requires careful consideration of stakeholder interests and potential environmental or community impacts.","['Clark County Real Property Management', 'Local residents and community groups', 'Environmental advocacy groups', 'Las Vegas Metropolitan Police Department']","['Supportive of the change as the applicant requesting the new police substation to support the surrounding development.', 'May have concerns about the loss of recreational space and potential impacts on the community from the new police substation.', 'Likely to scrutinize the potential environmental impacts of the proposed development and seek to ensure proper mitigation measures are in place.', 'Supportive of the new substation as it would provide improved public safety services and resources to the surrounding area.']"
Pacific Wind Lease Sale 2 for Commercial Leasing for Wind Power Development on the Oregon Outer Continental Shelf-Proposed Sale Notice,"The Bureau of Ocean Energy Management (BOEM) is proposing to hold Pacific Lease Sale 2 to offer one or more lease areas for commercial wind power development on the U.S. Outer Continental Shelf off the coast of Oregon. The proposed sale notice outlines the lease areas, auction details, and the process for obtaining approval for any offshore wind energy facilities. BOEM is seeking public comments on the proposal and qualification materials from prospective bidders. This document is important as it lays the groundwork for future offshore wind development in the region, which could have significant economic and environmental implications.","['Offshore wind energy developers', 'Commercial and recreational fishing industry', 'Environmental advocacy groups', 'Local coastal communities', 'Federal, state, and local government agencies']","['Likely to be interested in participating in the lease sale and developing wind energy projects in the identified areas, but may have concerns about the auction format and lease requirements.', 'May be concerned about the potential impact of offshore wind development on their operations and access to fishing grounds.', 'May support the proposal for its potential to promote renewable energy development, but may also have concerns about the environmental impacts of the projects.', 'May have concerns about the visual impact, potential disruption to their way of life, and economic implications (both positive and negative) of the offshore wind development.', 'Will likely be involved in the review and approval process for the offshore wind projects, balancing various interests and priorities.']"
"Safety Zone; Vineyard Wind 1 Wind Farm Project Area, Outer Continental Shelf, Lease OCS-A 0501, Offshore Massachusetts, Atlantic Ocean","The Coast Guard is extending the effective period for 63 temporary 500-meter safety zones around the construction of the Vineyard Wind 1 Wind Farm project area on the Outer Continental Shelf off the coast of Massachusetts. The safety zones, which prohibit unauthorized vessels and persons from entering, will now be in effect until May 31, 2026, to provide more time for the completion of the wind turbine generator and electrical service platform installations. The Coast Guard is issuing this temporary interim rule without prior notice and opportunity for public comment due to the immediate need to protect public safety during the ongoing construction activities.This rule is issued under the Coast Guard's authority to establish safety zones for non-mineral energy resource structures on the Outer Continental Shelf. The extension of the safety zones is necessary to ensure the safety of life, property, and the environment within a 500-meter radius of each of the 63 facilities during their construction.","['Vineyard Wind, LLC (project developer)', 'Commercial and recreational maritime users (e.g., fishermen, boaters)', 'Environmental advocacy groups', ""Local coastal communities (e.g., Martha's Vineyard, Nantucket)""]","['Likely to support the extension of the safety zones as it provides more time to complete the wind farm construction without disruptions.', 'May be inconvenienced by the extended safety zones, which restrict their access to certain areas of the Outer Continental Shelf.', 'May support the safety zones as they help protect the marine environment during the wind farm construction, but could also be concerned about the long-term impacts of the project on the local ecosystem.', 'May have mixed views, as the wind farm could provide economic benefits but also raise concerns about potential impacts on tourism, fishing, and the local environment.']"
"Safety Zone; Upper Mississippi River Mile 202.5-203.5 Near Alton, IL","The Coast Guard is proposing to establish a temporary safety zone on the Upper Mississippi River near Alton, Illinois, from June 21 to June 24, 2024, during a power boat championship race. The safety zone would prohibit vessels and persons from entering the designated area without authorization from the Captain of the Port Sector Upper Mississippi River or a designated representative. This action is necessary to ensure the safety of vessels and the navigable waters during the high-speed power boat race event.The proposed rule outlines the specific boundaries and duration of the safety zone, as well as the process for obtaining permission to enter the zone. The Coast Guard has analyzed the potential impacts of the proposed rule, including on small entities, and determined that it would not have a significant economic impact.","['Power boat racing organizers and participants', 'Commercial and recreational vessel operators', 'Local businesses and communities near Alton, Illinois']","['May support the safety zone to ensure the safe conduct of the championship race, but could be inconvenienced by the restrictions on access to the river during the event.', 'May be concerned about the disruption to their normal river traffic and navigation during the safety zone period, potentially opposing the proposed restrictions.', 'Could be impacted by the temporary safety zone, either positively (if the event draws more visitors) or negatively (if it disrupts normal economic activity), and may seek to influence the proposal accordingly.']"
"Special Local Regulation; Back River, Baltimore County, MD","The Coast Guard is proposing to establish special local regulations to provide for the safety of life on certain waters of the Back River in Baltimore County, Maryland. These regulations would be enforced during an annual high-speed power boat event and air show held on the 2nd, 3rd or 4th weekend (Friday, Saturday, and Sunday) in July. The proposed rulemaking would prohibit persons and vessels from being in the regulated area unless authorized by the Captain of the Port or the Coast Guard Event Patrol Commander. This is intended to address the potential hazards associated with the high-speed power boat event and air show, which could pose risks to participants, non-participants, and transiting vessels.","[""Tiki Lee's Dock Bar"", 'Local boaters and residents', 'Environmental advocacy groups']","['As the organizer of the annual events, they are likely to support the proposed regulations to ensure the events can be held safely.', 'May be concerned about the restrictions on accessing the regulated area, which could impact their recreational and commercial activities in the Back River.', 'May be interested in the potential environmental impacts of the events, such as hazardous material spills, and could advocate for additional mitigation measures.']"
